yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG00108		A2SSR4	A2SSR4_METLZ	unreviewed	Site-specific DNA-methyltransferase (Adenine-specific) (EC 2.1.1.72)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0008170; GO:0009007	14711;	arCOG00108;COG2189;		POG093Z00NC;	PF01555;	mla:Mlab_1201;	Methanomicrobia	Methanocorpusculaceae	Methanocorpusculum		Methanomicrobiales	Euryarchaeota	Methanocorpusculum labreanum	
arCOG00108		A3CVK9	A3CVK9_METMJ	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	14790;	arCOG00108;COG2189;	K07316;	POG093Z00KT;	PF01555;	mem:Memar_1480;	Methanomicrobia	Methanomicrobiaceae	Methanoculleus		Methanomicrobiales	Euryarchaeota	Methanoculleus marisnigri	
arCOG00108		A6UNJ3	A6UNJ3_METVS	unreviewed	Site-specific DNA-methyltransferase (Adenine-specific) (EC 2.1.1.72)	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]			DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0008170; GO:0009007	15407;	arCOG00108;COG2189;	K07316;	POG093Z00NC;	PF01555;	mvn:Mevan_0154;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus vannielii	
arCOG00108		A6VFA6	A6VFA6_METM7	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	15718;	arCOG00108;COG2189;		POG093Z00KT;	PF01555;	mmz:MmarC7_0062;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG00108		A9ABC7	A9ABC7_METM6	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	16508;	arCOG00108;COG2189;		POG093Z00KT;	PF01555;	mmx:MmarC6_1840;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG00108		F4BX51	F4BX51_METSG	unreviewed	DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	34681;	arCOG00108;COG2189;	K07316;	POG093Z02N3;	PF01555;	mcj:MCON_2055;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG00108		F4BX53	F4BX53_METSG	unreviewed	Conserved domain protein							arCOG00108;COG2189;		POG093Z02N3;		mcj:MCON_2057;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG00108		F6D1Q6	F6D1Q6_METPW	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	36349;	arCOG00108;COG2189;	K07316;	POG093Z02N3;	PF01555;	mew:MSWAN_0832;	Methanobacteria	Methanobacteriaceae	Methanobacterium		Methanobacteriales	Euryarchaeota	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	
arCOG00108		F8D5N0	F8D5N0_HALXS	unreviewed	DNA methylase N-4/N-6 domain protein	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]; DNA restriction-modification system [GO:0009307]	DNA methylation [GO:0006306]; DNA restriction-modification system [GO:0009307]		DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0004519; GO:0006306; GO:0008170; GO:0009307	36613;	arCOG00108;COG2189;	K07316;	POG093Z00TW;	PF04471;PF01555;	hxa:Halxa_4269;	Halobacteria	Natrialbaceae	Halopiger		Natrialbales	Euryarchaeota	Halopiger xanaduensis	
arCOG00108		O28863	O28863_ARCFU	unreviewed	Modification methylase, type III R/M system	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	3114;	arCOG00108;COG2189;		POG093Z00KT;	PF01555;	afu:AF_1409;	Archaeoglobi	Archaeoglobaceae	Archaeoglobus		Archaeoglobales	Euryarchaeota	Archaeoglobus fulgidus	
